Nome,Empresa/Autor,Categoria,Classe,Open Source,Licenca,Entrega,Web Scan,API Scan,Cloud/K8s,CLI,CI/CD,Auth avancada,Status,Ano,Link,Observacoes
Sasori,karthikuj,Crawler dinamico (Puppeteer),OSS,S,MIT,CLI,S,P,N,S,S,S,Ativo,2023,https://github.com/karthikuj/sasori,~145 stars; alimenta scanners com endpoints de SPA
Moxy,matank001,DAST agentico,OSS,S,OSS,CLI/Docker,S,S,N,S,S,P,Novo,2024,https://github.com/matank001/Moxy,~115 stars; capacidades agenticas com LLM
Vigolium,vigolium,Scanner agentico (IA + Go),OSS,S,OSS,CLI,S,S,P,S,S,P,Novo,2025,https://github.com/vigolium/vigolium,~921 stars; combina IA agentica com velocidade nativa
Dark-Moon,ASCIT31,Engine de pentest autonomo,OSS,S,OSS,CLI,S,S,S,S,P,P,Novo,2025,https://github.com/ASCIT31/Dark-Moon,~784 stars; web/cloud/infra
numasec,FrancescoStabile,Agente de seguranca (IA),OSS,S,OSS,CLI,S,S,P,S,P,N,Novo,2025,https://github.com/FrancescoStabile/numasec,~448 stars
secpipe,FuzzingLabs,MCP server para pipelines de seguranca IA,OSS,S,OSS,MCP/CLI,S,S,P,S,S,N,Novo,2025,https://github.com/FuzzingLabs/secpipe,~803 stars; orquestra ferramentas via IA
HexStrike AI,0x4m4,Orquestrador MCP (150+ ferramentas),OSS,S,OSS,MCP,S,S,S,S,P,P,Ativo,2025,https://github.com/0x4m4/hexstrike-ai,Da a LLMs acesso a scanners DAST
SecOpsAgentKit,AgentSecOps,Toolkit de seguranca para agentes,OSS,S,OSS,CLI/MCP,S,S,S,S,S,N,Novo,2025,https://github.com/AgentSecOps/SecOpsAgentKit,~181 stars
Xray (chaitin),Chaitin Tech (China),Scanner web/PoC,Freemium,N,Binario gratuito/Comercial,CLI,S,P,N,S,S,P,Ativo,2019,https://github.com/chaitin/xray,"~11.6k stars; motor fechado, YAML PoC; muito usado na Asia"
Goby,Chaitin / Zhengxin,Asset mapping + PoC scan,Freemium,N,Gratuito/Comercial,Desktop,S,P,P,S,P,N,Ativo,2020,https://gobies.org/,Descoberta de ativos + exploracao
poc-runner,4ra1n,Engine de PoC (regras XRAY YAML),OSS,S,OSS,CLI,S,N,N,S,S,N,Ativo,2023,https://github.com/4ra1n/poc-runner,~179 stars; alternativa OSS ao motor xray
afrog,zan8in,Scanner de vulnerabilidades,OSS,S,MIT,CLI,S,P,N,S,S,N,Ativo,2022,https://github.com/zan8in/afrog,"~4.3k stars; PoCs YAML, rapido"
scan4all,GhostTroops,Scanner all-in-one,OSS,S,GPL-3.0,CLI,S,P,P,S,P,N,Ativo,2022,https://github.com/GhostTroops/scan4all,"~6.2k stars; 15k+ PoCs, integra nuclei/xray"
Pocsuite3,Knownsec 404 Team,Framework de PoC/exploit,OSS,S,GPL-2.0,CLI/Python,S,P,N,S,P,N,Ativo,2015,https://github.com/knownsec/pocsuite3,Framework de verificacao remota
POC-bomber,tr0uble-mAker,Framework de PoCs de alto impacto,OSS,S,OSS,CLI,S,P,N,S,N,N,Manutencao,2022,https://github.com/tr0uble-mAker/POC-bomber,~2.4k stars
POC-T,Xyntax,Framework de concorrencia para PoCs,OSS,S,OSS,CLI,S,P,N,S,N,N,Manutencao,2016,https://github.com/Xyntax/POC-T,~1.9k stars
vulmap,zhzyker,Scanner/exploit web,OSS,S,MIT,CLI,S,P,N,S,N,N,Manutencao,2020,https://github.com/zhzyker/vulmap,Verificacao + exploracao de CVEs web
Jaeles,jaeles-project (j3ssie),Framework de scan por assinaturas,OSS,S,MIT,CLI,S,P,N,S,S,P,Manutencao,2019,https://github.com/jaeles-project/jaeles,"Signatures YAML, integravel a pipelines de bug bounty"
Osmedeus,j3ssie,Workflow engine de recon/scan,OSS,S,MIT,CLI/Docker,S,P,P,S,S,N,Ativo,2018,https://github.com/j3ssie/osmedeus,Orquestra nuclei/httpx/etc
Sn1per,1N3 / Xerosecurity,Framework de pentest automatizado,Freemium,P,OSS + Pro,CLI/Docker,S,P,P,S,P,N,Ativo,2015,https://github.com/1N3/Sn1per,Community + versao Pro
Tsunami Security Scanner,Google,Scanner de superficie com plugins,OSS,S,Apache-2.0,CLI/Docker,S,P,S,S,S,N,Ativo,2020,https://github.com/google/tsunami-security-scanner,Foco em alta severidade/baixo falso-positivo
OpenVAS / Greenbone Community Edition,Greenbone,VA de rede + checks web,OSS,S,GPL-2.0,Self-hosted/Docker,P,N,P,S,S,N,Ativo,2005,https://github.com/greenbone/openvas-scanner,"150k+ NVTs, inclui testes de aplicacoes web"
Greenbone Enterprise,Greenbone,VA comercial,Enterprise,P,Comercial,Appliance/SaaS,P,N,P,S,S,N,Ativo,2008,https://www.greenbone.net/,Versao suportada do OpenVAS
Nessus / Nessus Expert,Tenable,VA + web app scanning,Enterprise,N,Comercial,Desktop/On-prem,P,P,P,S,S,P,Ativo,1998,https://www.tenable.com/products/nessus,Nessus Expert inclui web app scanning basico
Rapid7 Nexpose / InsightVM,Rapid7,VA,Enterprise,N,Comercial,On-prem/SaaS,P,N,S,S,S,N,Ativo,2004,https://www.rapid7.com/products/insightvm/,VA de infra; DAST separado
Metasploit Framework (aux/web),Rapid7 + comunidade,Exploracao/verificacao,OSS,S,BSD-3,CLI,P,P,P,S,P,P,Ativo,2003,https://github.com/rapid7/metasploit-framework,Modulos auxiliares de scan web
Ladon,k8gege,Scanner de rede interna,OSS,S,OSS,CLI,P,N,N,S,N,N,Ativo,2019,https://github.com/k8gege/Ladon,~5.3k stars; foco em ambientes internos
Vuls,Future Architect,VA agentless,OSS,S,GPL-3.0,CLI,N,N,S,S,S,N,Ativo,2016,https://github.com/future-architect/vuls,~12.2k stars; nao e DAST de aplicacao
Raccoon,evyatarmeged,Recon + VA ofensivo,OSS,S,MIT,CLI,S,P,N,S,N,N,Manutencao,2019,https://github.com/evyatarmeged/Raccoon,~3.6k stars
Escape (escape.tech),Escape,DAST de API + business logic,Startup,N,Comercial,SaaS,S,S,S,S,S,S,Ativo,2020,https://escape.tech/,Forte em GraphQL/REST; descoberta de APIs e testes de logica de negocio
42Crunch API Security Platform,42Crunch,Conformance scan + protecao,Startup,N,Comercial (free tier),SaaS+CLI,N,S,S,S,S,S,Ativo,2016,https://42crunch.com/,API Scan valida trafego real contra o contrato OpenAPI
APIsec.ai,APIsec,API pentest automatizado,Startup,N,Comercial (free tier),SaaS,N,S,P,S,S,S,Ativo,2018,https://www.apisec.ai/,Gera testes a partir da spec; foco em BOLA/BFLA
Aptori,Aptori,API DAST semantico + AI,Startup,N,Comercial,SaaS,N,S,S,S,S,S,Ativo,2021,https://aptori.dev/,Modelo semantico da API para gerar ataques
Pynt,Pynt,API security testing dev-first,Startup,P,Freemium,CLI/Docker,N,S,P,S,S,S,Ativo,2022,https://www.pynt.io/,Reaproveita testes funcionais (Postman/Newman) como DAST
Levo.ai,Levo,Descoberta + testes de API,Startup,N,Comercial,SaaS+eBPF,N,S,S,S,S,S,Ativo,2020,https://www.levo.ai/,Sensores eBPF para descoberta e testes
Firetail,Firetail,API security posture + testes,Startup,N,Comercial (free tier),SaaS,N,S,S,S,S,P,Ativo,2021,https://www.firetail.ai/,Inclui scanning de specs e runtime
Akto (Enterprise),Akto,Descoberta + testes de API,Startup,P,Comercial + OSS CE,SaaS+Self-hosted,N,S,S,S,S,S,Ativo,2022,https://www.akto.io/,Versao community OSS (~1.5k stars); 1000+ testes
Akto Community Edition,Akto,API DAST OSS,OSS,S,MIT/AGPL (ver repo),Self-hosted/Docker/K8s,N,S,S,S,S,S,Ativo,2022,https://github.com/akto-api-security/community-edition,"Auto-descoberta via trafego (mirroring, eBPF, Burp)"
Salt Security,Salt Security,API runtime + posture testing,Enterprise,N,Comercial,SaaS,N,S,S,S,S,P,Ativo,2016,https://salt.security/,Foco runtime; modulo de testes pre-prod
Traceable AI (API Security Testing),Traceable (Harness),API DAST + runtime,Enterprise,N,Comercial,SaaS,N,S,S,S,S,S,Ativo,2018,https://www.traceable.ai/,Adquirida pela Harness (2025)
Akamai API Security (ex-Noname),Akamai,API posture + testing,Enterprise,N,Comercial,SaaS,N,S,S,S,S,S,Ativo,2020 / 2024 (aquisicao),https://www.akamai.com/products/api-security,Noname Security adquirida pela Akamai
Cequence Unified API Protection,Cequence,API testing + protecao,Enterprise,N,Comercial,SaaS+On-prem,N,S,S,S,S,S,Ativo,2014,https://www.cequence.ai/,API Spartan/Sentinel; testes pre-prod
Wallarm API Security Testing (FAST),Wallarm,API DAST a partir de trafego,Enterprise,P,Comercial,SaaS+Self-hosted,S,S,S,S,S,S,Ativo,2016,https://www.wallarm.com/,FAST gera testes a partir de trafego funcional; GoTestWAF OSS
GoTestWAF,Wallarm,Teste dinamico de WAF/API gateway,OSS,S,Apache-2.0,CLI/Docker,S,S,S,S,S,N,Ativo,2020,https://github.com/wallarm/gotestwaf,~1.8k stars; avalia deteccao de WAF/API firewall
Metlo,Metlo Labs (YC),Plataforma OSS de API security,OSS,S,MIT (ver repo),Self-hosted/Docker,N,S,S,S,S,S,Incerto/Manutencao,2022,https://github.com/metlo-labs/metlo,~1.8k stars; empresa aparentemente inativa - validar antes de adotar
Cherrybomb,BLST Security,Auditoria de spec + testes de API,OSS,S,Apache-2.0,CLI (Rust),N,S,N,S,S,N,Manutencao,2022,https://github.com/blst-security/cherrybomb,~1.2k stars
VulnAPI,CerberAuth,Scanner de vulnerabilidades de API,OSS,S,MIT,CLI (Go),N,S,P,S,S,S,Ativo,2024,https://github.com/cerberauth/vulnapi,~276 stars; foco em JWT/OAuth/OIDC
APIKit,API-Security (China),Descoberta + scan + auditoria de API,OSS,S,OSS,Burp ext/Java,N,S,N,P,N,P,Ativo,2022,https://github.com/API-Security/APIKit,~2.3k stars
Automatic API Attack Tool,Imperva,Gerador de ataques a partir de spec,OSS,S,MIT,CLI,N,S,N,S,S,N,Manutencao,2020,https://github.com/imperva/automatic-api-attack-tool,Fuzzing dirigido por OpenAPI
Astra (Flipkart),Flipkart Incubator,REST API security testing,OSS,S,Apache-2.0,CLI/Web,N,S,N,S,S,P,Abandonado,2018,https://github.com/flipkart-incubator/Astra,Integravel a CI; sem atualizacoes recentes
APIFuzzer,KissPeter,Fuzzer de OpenAPI/Swagger,OSS,S,GPL-3.0,CLI,N,S,N,S,S,N,Manutencao,2018,https://github.com/KissPeter/APIFuzzer,Fuzzing sem escrever codigo
CATS,Endava (Madalin Ilie),REST API fuzzer/negative testing,OSS,S,Apache-2.0,CLI,N,S,N,S,S,P,Ativo,2020,https://github.com/Endava/cats,100+ fuzzers embutidos; contract + security
RESTler,Microsoft Research,Fuzzer stateful de REST,OSS,S,MIT,CLI,N,S,P,S,S,P,Manutencao,2020,https://github.com/microsoft/restler-fuzzer,Referencia academica e industrial
fuzz-lightyear,Yelp,DAST de API (chaos/statefulness),OSS,S,MIT,CLI,N,S,N,S,S,S,Abandonado,2020,https://github.com/Yelp/fuzz-lightyear,Deteccao de IDOR/vuln de estado
TnT-Fuzzer,Teebytes,Fuzzer OpenAPI 2.0,OSS,S,MIT,CLI,N,S,N,S,P,N,Abandonado,2017,https://github.com/Teebytes/TnT-Fuzzer,Python
WuppieFuzz,TNO (Holanda),Fuzzer REST coverage-guided,OSS,S,Apache-2.0,CLI (Rust/LibAFL),N,S,N,S,S,P,Ativo,2024,https://github.com/TNO-S3/WuppieFuzz,Black/grey/white-box; construido sobre LibAFL
REST-Attacker,Uni Hamburg (RUB),Framework de testes REST/OAuth,OSS,S,MIT,CLI,N,S,N,S,P,S,Manutencao,2022,https://github.com/RUB-NDS/REST-Attacker,Pesquisa academica
fuzzapi / API_Fuzzer,Lucideus,Fuzzer de API (Ruby gem),OSS,S,MIT,CLI/Web,N,S,N,S,N,N,Abandonado,2017,https://github.com/Fuzzapi/fuzzapi,Historico
Schemathesis,Dmitry Dygalo,Property-based API testing (OpenAPI/GraphQL),OSS,S,MIT,CLI/pytest,N,S,P,S,S,P,Ativo,2019,https://github.com/schemathesis/schemathesis,Encontra falhas de contrato e crashes; usado em CI
Dredd,Apiary/Oracle,Teste de contrato de API,OSS,S,MIT,CLI,N,S,N,S,S,N,Manutencao,2014,https://github.com/apiaryio/dredd,"Contrato, nao seguranca (complementar)"
Step CI,Step CI,Testes de REST/GraphQL/gRPC,OSS,S,MPL-2.0,CLI,N,S,P,S,S,P,Manutencao,2022,https://github.com/stepci/stepci,Inclui checks de seguranca basicos
SoapUI / ReadyAPI Security,SmartBear,Testes de seguranca SOAP/REST,Comercial,P,OSS (SoapUI) + Comercial,Desktop/CLI,N,S,N,S,S,S,Ativo,2005,https://smartbear.com/product/ready-api/,"ReadyAPI tem suite de security tests (SQLi, XSS, fuzzing, XML bomb)"
WS-Attacker,RUB-NDS (Alemanha),Framework de ataque a Web Services (SOAP),OSS,S,GPL-2.0,Desktop,N,S,N,N,N,S,Abandonado,2012,https://github.com/RUB-NDS/WS-Attacker,"XML Signature Wrapping, XXE, DoS"
WSSAT,YalcinYolalan,Web Service Security Assessment Tool,OSS,S,Apache-2.0,Desktop,N,S,N,P,N,P,Abandonado,2017,https://github.com/YalcinYolalan/WSSAT,SOAP/WSDL
InQL,Doyensec,Testes de GraphQL (Burp ext + CLI),OSS,S,Apache-2.0,Burp ext,N,S,N,P,N,P,Ativo,2019,https://github.com/doyensec/inql,Padrao para pentest de GraphQL
GraphQLmap,Swissky,Engine de exploracao GraphQL,OSS,S,MIT,CLI,N,S,N,S,N,P,Manutencao,2018,https://github.com/swisskyrepo/GraphQLmap,Exploracao interativa
graphql-cop,Dolev Farhi,Auditor de seguranca GraphQL,OSS,S,MIT,CLI,N,S,N,S,S,N,Ativo,2021,https://github.com/dolevf/graphql-cop,"Checks rapidos (batching, introspection, DoS)"
graphw00f,Dolev Farhi,Fingerprint de engine GraphQL,OSS,S,BSD,CLI,N,S,N,S,S,N,Ativo,2021,https://github.com/dolevf/graphw00f,Identifica implementacao para ataques dirigidos
graphql-threat-matrix,Nick Aleks,Matriz de ameacas GraphQL,OSS,S,MIT,Repo,N,S,N,N,N,N,Ativo,2019,https://github.com/nicholasaleks/graphql-threat-matrix,Base de conhecimento
CrackQL,Nick Aleks,Brute-force/fuzzing GraphQL,OSS,S,MIT,CLI,N,S,N,S,N,S,Manutencao,2021,https://github.com/nicholasaleks/CrackQL,Abusa batching para brute-force
BatchQL,Assetnote,Auditor de batching GraphQL,OSS,S,MIT,CLI,N,S,N,S,N,N,Manutencao,2021,https://github.com/assetnote/batchql,Batching/CSRF/introspection
clairvoyance,nikitastupin,Recupera schema GraphQL sem introspection,OSS,S,Apache-2.0,CLI,N,S,N,S,P,N,Ativo,2020,https://github.com/nikitastupin/clairvoyance,Essencial quando introspection esta off
goctopus,Escape,Descoberta de endpoints GraphQL,OSS,S,Apache-2.0,CLI,N,S,N,S,P,N,Manutencao,2022,https://github.com/Escape-Technologies/goctopus,Descoberta em massa
gqlspection / GraphQL Raider,Doyensec / Burp BApp,Extensoes GraphQL para Burp,OSS,S,OSS,Burp ext,N,S,N,N,N,N,Ativo,2020,https://portswigger.net/bappstore,Manipulacao de queries no Burp
grpcurl,FullStory,Cliente/reflexao gRPC,OSS,S,MIT,CLI,N,S,S,S,S,P,Ativo,2017,https://github.com/fullstorydev/grpcurl,Base para testes manuais/automatizados de gRPC
grpc-scan / grpc_tools scanners,Comunidade,Enumeracao gRPC,OSS,S,OSS,CLI,N,S,S,S,P,N,Manutencao,2020,https://github.com/nxenon/grpc-pentest-suite,Suites de pentest gRPC (ex.: nxenon/grpc-pentest-suite)
STEWS,Palindrome Technologies,Security Testing/Enumeration of WebSockets,OSS,S,MIT,CLI,N,S,N,S,P,P,Manutencao,2022,https://github.com/PalindromeLabs/STEWS,"Descoberta, fingerprint e teste de WebSocket"
wsrepl,Doyensec,REPL interativo para WebSocket,OSS,S,Apache-2.0,CLI,N,S,N,S,N,P,Ativo,2023,https://github.com/doyensec/wsrepl,Fuzzing de WebSocket automatizavel
WebSocket Turbo Intruder,PortSwigger,Fuzzing de WebSocket,OSS,S,OSS (BApp),Burp ext,N,S,N,N,N,P,Ativo,2021,https://portswigger.net/bappstore,"Alta velocidade, scriptavel"
Arjun,s0md3v,Descoberta de parametros HTTP,OSS,S,AGPL-3.0,CLI,S,S,N,S,S,N,Ativo,2019,https://github.com/s0md3v/Arjun,Amplia superficie para o scanner
kiterunner,Assetnote,Descoberta de rotas de API,OSS,S,AGPL-3.0,CLI,N,S,N,S,S,N,Manutencao,2021,https://github.com/assetnote/kiterunner,Wordlists de rotas de API modernas
ffuf,joohoi,Fuzzer HTTP rapido,OSS,S,MIT,CLI,S,S,N,S,S,P,Ativo,2018,https://github.com/ffuf/ffuf,Padrao de facto para fuzzing de conteudo/parametros
wfuzz,Xmendez,Fuzzer web,OSS,S,GPL-2.0,CLI,S,S,N,S,P,P,Manutencao,2011,https://github.com/xmendez/wfuzz,Classico; projeto em baixa atividade
feroxbuster,epi052,Descoberta de conteudo recursiva,OSS,S,MIT,CLI,S,P,N,S,S,P,Ativo,2020,https://github.com/epi052/feroxbuster,"Rust, rapido"
dirsearch,maurosoria,Descoberta de caminhos,OSS,S,GPL-2.0,CLI,S,P,N,S,S,P,Ativo,2014,https://github.com/maurosoria/dirsearch,Muito usado em bug bounty
gobuster,OJ Reeves,Brute-force de diretorios/DNS/vhost,OSS,S,Apache-2.0,CLI,S,P,N,S,S,N,Ativo,2015,https://github.com/OJ/gobuster,"Go, versatil"
dirb / DirBuster,OWASP,Descoberta de conteudo,OSS,S,GPL,CLI/GUI,S,N,N,S,N,N,Abandonado,2005,https://github.com/v0re/dirb,"Historico, ainda em distros"
rustbuster,phra,Fuzzer/brute-forcer,OSS,S,MIT,CLI,S,P,N,S,N,P,Abandonado,2019,https://github.com/phra/rustbuster,Rust
vaf,d4rckh,Fuzzer web rapido,OSS,S,MIT,CLI,S,P,N,S,N,N,Manutencao,2021,https://github.com/d4rckh/vaf,Very Advanced Fuzzer
radamsa,Aki Helin (OUSPG),Fuzzer mutacional generico,OSS,S,MIT,CLI,P,S,N,S,S,N,Ativo,2010,https://gitlab.com/akihe/radamsa,Mutacao de entradas para qualquer protocolo
boofuzz,Joshua Pereyda,Framework de fuzzing de rede,OSS,S,GPL-2.0,Python,N,S,S,S,P,N,Ativo,2017,https://github.com/jtpereyda/boofuzz,Sucessor do Sulley; protocolos binarios/rede
Sulley,OpenRCE,Framework de fuzzing,OSS,S,GPL,Python,N,S,N,S,N,N,Abandonado,2007,https://github.com/OpenRCE/sulley,Base historica do boofuzz
Fuzzowski,moongift/nccgroup,Fuzzer de protocolo de rede,OSS,S,GPL-2.0,Python,N,S,N,S,N,N,Manutencao,2019,https://github.com/nccgroup/fuzzowski,NCC Group; 'network protocol fuzzer'
Peach Fuzzer (Community),Peach Tech / GitLab,Fuzzer de protocolo,OSS/Comercial,P,MPL/Comercial,CLI,P,S,N,S,P,N,Descontinuado,2004,https://gitlab.com/gitlab-org/security-products/protocol-fuzzer-ce,Peach Tech adquirida pelo GitLab; produto descontinuado
AFL++,AFLplusplus team,Fuzzer coverage-guided,OSS,S,Apache-2.0,CLI,N,P,S,S,S,N,Ativo,2020,https://github.com/AFLplusplus/AFLplusplus,Fuzzing de binarios/parsers (complementa DAST)
honggfuzz,Google (Robert Swiecki),Fuzzer,OSS,S,Apache-2.0,CLI,N,P,S,S,S,N,Ativo,2015,https://github.com/google/honggfuzz,Fuzzing de software/servicos
LibAFL,AFLplusplus team,Framework de fuzzing modular,OSS,S,Apache/MIT,Rust lib,N,S,S,S,S,N,Ativo,2021,https://github.com/AFLplusplus/LibAFL,Base do WuppieFuzz
Mayhem for API / Mayhem,Mayhem Security (ex-ForAllSecure),Fuzzing de API e binarios,Enterprise,N,Comercial,SaaS/Self-hosted,N,S,S,S,S,P,Ativo,2020,https://www.mayhem.security/,Vencedora do DARPA CGC; Mayhem for API a partir de OpenAPI
Code Intelligence CI Fuzz / CI Spark,Code Intelligence (Alemanha),Fuzzing de aplicacao e API,Startup,P,Comercial + OSS (Jazzer/cifuzz),SaaS/Self-hosted,N,S,S,S,S,P,Ativo,2018,https://www.code-intelligence.com/,Jazzer (Java) e cifuzz sao OSS
Fuzzbuzz,Fuzzbuzz,Fuzzing as a service,Startup,N,Comercial,SaaS,N,S,N,S,S,N,Descontinuado,2018,https://fuzzbuzz.io/,Startup aparentemente encerrada
sqlmap,sqlmap project (Bernardo/Miroslav),Exploracao de SQL Injection,OSS,S,GPL-2.0,CLI,S,S,N,S,S,S,Ativo,2006,https://sqlmap.org/,~37k stars; referencia absoluta em SQLi
Ghauri,r0oth3x49,SQLi automatizado,OSS,S,MIT,CLI,S,S,N,S,P,S,Ativo,2022,https://github.com/r0oth3x49/ghauri,Alternativa moderna ao sqlmap
NoSQLMap,codingo,Ataques a NoSQL/MongoDB,OSS,S,GPL-3.0,CLI,S,S,N,S,N,P,Manutencao,2015,https://github.com/codingo/NoSQLMap,NoSQL injection
XSStrike,s0md3v,Deteccao/exploracao de XSS,OSS,S,GPL-3.0,CLI,S,P,N,S,P,N,Manutencao,2018,https://github.com/s0md3v/XSStrike,Engine de fuzzing contextual
Dalfox,hahwul,Scanner/parametro de XSS,OSS,S,MIT,CLI/Docker,S,S,N,S,S,P,Ativo,2020,https://github.com/hahwul/dalfox,"Go, rapido, integravel a pipelines"
XSpear,hahwul,Scanner XSS (Ruby),OSS,S,MIT,CLI,S,P,N,S,P,N,Manutencao,2019,https://github.com/hahwul/XSpear,Complementa o Dalfox
kxss / Gxss,Tom Hudson / KathanP19,Deteccao de reflexao XSS,OSS,S,MIT,CLI,S,N,N,S,S,N,Manutencao,2020,https://github.com/tomnomnom/hacks,Pipeline de bug bounty
Commix,Anastasios Stasinopoulos,Command injection,OSS,S,GPL-3.0,CLI,S,S,N,S,S,P,Ativo,2014,https://github.com/commixproject/commix,~5.7k stars
tplmap,epinna,SSTI (Server-Side Template Injection),OSS,S,GPL-3.0,CLI,S,S,N,S,N,P,Abandonado,2016,https://github.com/epinna/tplmap,Substituido na pratica pelo SSTImap
SSTImap,vladko312,SSTI moderno,OSS,S,GPL-3.0,CLI,S,S,N,S,P,P,Ativo,2022,https://github.com/vladko312/SSTImap,Fork ativo do tplmap
Fuxploider,almandin,Upload de arquivos malicioso,OSS,S,GPL-3.0,CLI,S,P,N,S,P,P,Manutencao,2018,https://github.com/almandin/fuxploider,~3.3k stars
SSRFmap,swisskyrepo,Exploracao de SSRF,OSS,S,MIT,CLI,S,S,S,S,N,P,Manutencao,2019,https://github.com/swisskyrepo/SSRFmap,Modulos para cloud metadata
Gopherus,tarunkant,Payloads SSRF -> Gopher,OSS,S,MIT,CLI,S,S,N,S,N,N,Manutencao,2018,https://github.com/tarunkant/Gopherus,Cadeias SSRF->RCE
interactsh,ProjectDiscovery,OAST (out-of-band),OSS,S,MIT,CLI/Self-hosted,S,S,S,S,S,N,Ativo,2021,https://github.com/projectdiscovery/interactsh,Infra OOB self-hosted para blind vulns
Smuggler / h2csmuggler,defparam / BishopFox,HTTP Request Smuggling,OSS,S,MIT,CLI,S,S,S,S,N,N,Manutencao,2020,https://github.com/defparam/smuggler,Deteccao de desync HTTP/1.1 e h2c
CRLFuzz,dwisiswant0,CRLF injection,OSS,S,MIT,CLI,S,P,N,S,S,N,Manutencao,2020,https://github.com/dwisiswant0/crlfuzz,Go
Corsy,s0md3v,Misconfiguracao de CORS,OSS,S,GPL-3.0,CLI,S,S,N,S,S,N,Manutencao,2019,https://github.com/s0md3v/Corsy,Checagem rapida de CORS
Oralyzer,r0075h3ll,Open redirect,OSS,S,MIT,CLI,S,P,N,S,S,N,Manutencao,2020,https://github.com/r0075h3ll/Oralyzer,Open redirect/CRLF
jwt_tool,ticarpi,Ataques a JWT,OSS,S,GPL-3.0,CLI,S,S,N,S,P,S,Ativo,2019,https://github.com/ticarpi/jwt_tool,"alg=none, key confusion, brute-force"
Autorize / AuthMatrix / Auth Analyzer,Burp BApps,Testes de autorizacao (IDOR/BOLA),OSS,S,OSS,Burp ext,S,S,N,N,N,S,Ativo,2015-2021,https://portswigger.net/bappstore,Essenciais para testar authz dinamicamente
Nuclei DAST templates (fuzzing),ProjectDiscovery,Fuzzing de parametros por template,OSS,S,MIT,CLI,S,S,S,S,S,P,Ativo,2024,https://docs.projectdiscovery.io/templates/protocols/http/fuzzing-overview,Transforma o Nuclei em DAST leve
Retire.js,Erlend Oftedal,Deteccao de libs JS vulneraveis (runtime),OSS,S,Apache-2.0,CLI/Burp/ZAP,S,N,N,S,S,N,Ativo,2013,https://retirejs.github.io/retire.js/,Analisa JS servido pela aplicacao
BurpBounty (Scan Check Builder),wagiro,Regras de scan ativo customizadas,OSS,S,GPL-3.0,Burp ext,S,S,N,P,P,P,Ativo,2018,https://github.com/wagiro/BurpBounty,~1.8k stars; regras graficas
ActiveScan++,PortSwigger (albinowax),Checks adicionais no Burp,OSS,S,OSS,Burp ext,S,S,N,N,N,P,Ativo,2014,https://portswigger.net/bappstore,"Cache poisoning, host header, etc"
Backslash Powered Scanner,PortSwigger (albinowax),Deteccao de vulns desconhecidas,OSS,S,OSS,Burp ext,S,S,N,N,N,P,Ativo,2016,https://portswigger.net/bappstore,Scanning baseado em comportamento
Param Miner,PortSwigger,Descoberta de parametros/headers ocultos,OSS,S,OSS,Burp ext,S,S,N,N,N,N,Ativo,2018,https://portswigger.net/bappstore,Cache poisoning
Turbo Intruder,PortSwigger,Fuzzing HTTP de alta velocidade,OSS,S,OSS,Burp ext,S,S,N,N,N,P,Ativo,2018,https://github.com/PortSwigger/turbo-intruder,Race conditions e brute-force
J2EEScan,IMQ Minded Security,Checks Java/J2EE no Burp,OSS,S,OSS,Burp ext,S,P,N,N,N,N,Manutencao,2014,https://github.com/ilmila/J2EEScan,Especifico de stacks Java
Freddy (Deserialization),NCC Group,Deteccao de desserializacao insegura,OSS,S,OSS,Burp ext,S,S,N,N,N,N,Manutencao,2017,https://github.com/nccgroup/freddy,Java/.NET deserialization
PTK (Penetration Testing Kit),OWASP / DenisPodgurskii,Extensao de browser para AppSec,OSS,S,OSS,Extensao browser,S,S,N,N,N,P,Ativo,2019,https://github.com/DenisPodgurskii/pentestkit,~227 stars
WPScan,WPScan (Automattic),Scanner WordPress,OSS/Freemium,S,GPL-3.0 (CLI) + API paga,CLI/Docker,S,N,N,S,S,P,Ativo,2011,https://github.com/wpscanteam/wpscan,~9.7k stars; base de dados de vulns WP
droopescan,SamJoan,Scanner Drupal/SilverStripe/WP,OSS,S,AGPL-3.0,CLI,S,N,N,S,P,N,Manutencao,2014,https://github.com/SamJoan/droopescan,Multi-CMS
CMSeeK,Tuhinshubhra,Deteccao/scan de CMS,OSS,S,GPL-3.0,CLI,S,N,N,S,N,N,Manutencao,2018,https://github.com/Tuhinshubhra/CMSeeK,180+ CMS
CMSScan,Ajin Abraham,Scanner de CMS (wrapper),OSS,S,GPL-3.0,Web/Docker,S,N,N,S,P,N,Manutencao,2018,https://github.com/ajinabraham/CMSScan,WordPress/Drupal/Joomla/Magento
Vulnx,anouarbensaad,Scanner/exploiter de CMS,OSS,S,GPL-3.0,CLI,S,N,N,S,N,N,Manutencao,2019,https://github.com/anouarbensaad/vulnx,Shell/exploit automatizado
Drupwn,immunIT,Scanner Drupal,OSS,S,MIT,CLI,S,N,N,S,N,P,Manutencao,2018,https://github.com/immunIT/drupwn,Enumeracao + exploracao
clusterd,hatRiot,Ataque a application servers,OSS,S,OSS,CLI,S,N,N,S,N,P,Abandonado,2014,https://github.com/hatRiot/clusterd,JBoss/Tomcat/WebLogic/Railo
Magescan,steverobbins,Scanner Magento,OSS,S,MIT,CLI,S,N,N,S,N,N,Abandonado,2015,https://github.com/steverobbins/magescan,E-commerce
